City,Club Name,Location,Website,Strava Club Link,Social Media
San Francisco,November Project SF,Multiple SF Locations,https://november-project.com/san-francisco,https://www.strava.com/clubs/npsf,https://instagram.com/novemberprojectsf
San Francisco,Dolphin South End Runners,South End,https://dserunners.com,https://www.strava.com/clubs/dse,https://instagram.com/dserunners
San Francisco,A Running Club,Multiple SF Locations,https://arunningclub.com,https://www.strava.com/clubs/arc-sf,https://instagram.com/arunningclub
San Francisco,SF FrontRunners,Multiple SF Locations,https://www.sffr.org,https://www.strava.com/clubs/sffr,https://instagram.com/sffrontrunners
Washington DC,DC Road Runners,Multiple DC Locations,https://www.dcroadrunners.org,https://www.strava.com/clubs/dcrr,https://instagram.com/dc_roadrunners
Washington DC,District Running Collective,Multiple DC Locations,https://districtrunningcollective.com,https://www.strava.com/clubs/drc-dc,https://instagram.com/districtrunningcollective
Washington DC,Pacers Running,Multiple DC Locations,https://www.runpacers.com,https://www.strava.com/clubs/pacersrunning,https://instagram.com/runpacers
Washington DC,November Project DC,Multiple DC Locations,https://november-project.com/washington-dc,https://www.strava.com/clubs/npdc,https://instagram.com/novemberprojectdc
Washington DC,DC Front Runners,Multiple DC Locations,https://www.dcfrontrunners.org,https://www.strava.com/clubs/dcfr,https://instagram.com/dcfrontrunners
Austin,Austin Runners Club,Multiple Austin Locations,https://austinrunners.org,https://www.strava.com/clubs/austinrunners,https://twitter.com/AustinRunners
Austin,Rogue Running,Multiple Austin Locations,https://roguerunning.com,https://www.strava.com/clubs/roguerunning,https://instagram.com/roguerunning
Austin,Gilbert's Gazelles,Central Austin,https://gilbertsgazelles.com,https://www.strava.com/clubs/gilbertsgazelles,https://instagram.com/gilbertsgazelles
Austin,East Side Beer Runners,East Austin,https://eastsidebeerrunners.com,https://www.strava.com/clubs/esbr,https://instagram.com/eastsidebeerrunners
Austin,Morning Jo's,South Austin,https://morningjos.com,https://www.strava.com/clubs/morningjos,https://instagram.com/morningjos
